영화명,영화 코드,관객수,날짜
아빠가 여자를 좋아해,20090890,9754,20100120
웨딩드레스,20090892,8726,20100120
앨빈과 슈퍼밴드2,20090861,4601,20100120
셜록 홈즈,20090856,3872,20100125
8인: 최후의 결사단,20090916,5908,20100127
공주와 개구리,20090850,4658,20100127
주문진,20090917,11667,20100130
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,20100030,2138,20100204
용서는 없다,20090888,1621,20100205
아스트로 보이-아톰의 귀환,20090821,4623,20100207
춤추는 꿈틀이 밴드,20100011,3657,20100207
전우치,20090077,9337,20100210
꼬마 니콜라,20090897,4285,20100210
주유소 습격사건 2,20090895,3520,20100210
들어는 봤니? 모건 부부,20090913,2119,20100210
헤이트 발렌타인데이,20090944,1859,20100210
파라노말 액티비티,20090857,1411,20100210
식객2 : 김치전쟁,20090926,1600,20100217
발렌타인 데이,20090945,4451,20100219
하치 이야기,20100039,7092,20100224
공자 춘추전국시대,20100017,4784,20100224
원피스 극장판: 스트롱 월드,20100012,3834,20100224
울프맨,20090929,3220,20100224
엘라의 모험 2: 백설공주 길들이기,20100063,1526,20100302
클로이,20100090,6546,20100303
하늘에서 음식이 내린다면,20090718,2287,20100303
커플 테라피: 대화가 필요해,20100028,1540,20100303
우리가 꿈꾸는 기적: 인빅터스,20100105,6007,20100310
포스 카인드,20100077,5496,20100310
퍼시 잭슨과 번개 도둑,20090923,4801,20100310
러블리 본즈,20090865,2870,20100310
대병소장,20100115,4826,20100317
사랑은 언제나 진행중,20100029,3675,20100317
평행이론,20090160,3351,20100317
디어 존,20100098,3085,20100317
하모니,20090914,5298,20100321
프롬 파리 위드 러브,20100101,5659,20100324
데이브레이커스,20090932,5694,20100328
무법자,20100075,3445,20100331
사랑은 너무 복잡해,20090894,1300,20100401
폭풍전야,20090331,3576,20100407
비밀애,20100107,3124,20100407
의형제,20090904,1838,20100407
솔로몬 케인,20100116,1354,20100407
소명 2-모겐족의 월드컵,20100158,2814,20100410
아바타,20090834,2056,20100411
회복,20100027,872,20100412
그린 존,20090948,4268,20100414
셔터 아일랜드,20100103,4054,20100414
집 나온 남자들,20090947,1868,20100414
이상한 나라의 앨리스,20090930,772,20100414
프로포즈 데이,20100128,2248,20100421
크레이지,20100142,2158,20100421
작은 연못,20061214,1727,20100421
G-포스: 기니피그 특공대,20090866,8334,20100425
바운티 헌터,20100170,1273,20100426
일라이,20100143,5818,20100427
허트 로커,20100176,4209,20100504
킥 애스: 영웅의 탄생,20100169,3290,20100504
반가운 살인자,20100129,2741,20100504
타이탄,20100018,1976,20100509
브라더스,20100189,3934,20100512
육혈포 강도단,20090939,1500,20100513
케로로 더 무비 5: 기적의 사차원섬,20100166,4745,20100516
블라인드 사이드,20100165,879,20100517
친정엄마,20100168,2692,20100519
베스트셀러,20100131,2786,20100523
서태지밴드 라이브 투어 <더 뫼비우스>,20100266,1180,20100525
하하하,20100202,1114,20100526
나이트메어,20100192,2201,20100531
대한민국 1%,20100198,3684,20100601
아이언맨 2,20090933,7368,20100602
꿈은 이루어진다,20100206,2597,20100606
로빈 후드,20090951,4110,20100609
엣지 오브 다크니스,20090921,3348,20100615
유령작가,20100278,3132,20100615
내 깡패 같은 애인,20100256,2937,20100615
하녀,20100188,1701,20100615
구르믈 버서난 달처럼,20090931,750,20100616
토마스와 친구들 - 극장판 2,20100332,4047,20100620
엽문2,20100311,3761,20100622
페르시아의 왕자: 시간의 모래,20100193,4938,20100623
런어웨이즈,20100330,1684,20100624
베스트 키드,20100292,4410,20100627
드래곤 길들이기,20100190,7004,20100630
여대생 기숙사,20100335,5651,20100630
스트리트댄스,20100291,2572,20100630
섹스 앤 더 시티 2,20100285,2447,20100704
A-특공대,20100295,4009,20100706
아마존의 눈물,20100141,2886,20100707
필립모리스,20100339,1340,20100712
시,20100191,1058,20100714
킬러 인사이드 미,20100362,539,20100715
스플라이스,20090943,867,20100718
방자전,20090927,2646,20100720
맨발의 꿈,20100210,1469,20100720
아더와 미니모이 2 : 셀레니아 공주 구출 작전,20100376,1059,20100720
파괴된 사나이,20100353,1095,20100725
이클립스,20100361,16936,20100727
포화속으로,20100296,5473,20100727
나잇&데이,20100310,4699,20100727
마법사의 제자,20100381,20555,20100803
극장판 도라에몽: 진구의 인어대해전,20100379,20584,20100804
슈렉 포에버,20100333,9091,20100804
고死 두 번째 이야기: 교생실습,20100326,15015,20100810
마음이2,20100380,7234,20100810
명탐정 코난: 천공의 난파선,20100378,6541,20100810
오션스,20090953,13516,20100815
디센트: Part 2,20100763,4577,20100816
내니맥피 2: 유모와마법소동,20090952,11517,20100818
오션월드 3D,20100758,6354,20100818
엑스페리먼트,20100764,5887,20100818
이끼,20100209,4289,20100818
폐가,20100769,9346,20100825
스텝 업 3D,20100382,7915,20100825
솔트,20100370,7766,20100825
마법천자문: 대마왕의 부활을 막아라,20100788,4330,20100825
아바타 3D 스페셜에디션,20100796,8320,20100830
죽이고 싶은,20100300,9112,20100901
익스펜더블,20100768,5220,20100901
센츄리온,20100815,4883,20100901
골든 슬럼버,20100789,3950,20100901
프레데터스,20100794,16503,20100904
토이 스토리 3,20100377,14455,20100905
애프터 라이프,20100808,5526,20100908
뮬란: 전사의 귀환,20100807,5295,20100908
에브리바디 올라잇,20100809,3720,20100908
라스트 에어벤더,20100767,11224,20100912
악마를 보았다,20100301,4867,20100914
킬러스,20100766,4800,20100914
피라냐,20100816,2734,20100914
김복남 살인사건의 전말,20100281,4927,20100915
인셉션,20100312,3446,20100915
노다메 칸타빌레 Vol.1 ,20100925,2244,20100917
캣츠 앤 독스 2,20100812,8343,20100926
그랑프리,20100329,2599,20100929
퀴즈왕,20100813,2369,20101004
마루 밑 아리에티,20100810,2381,20101005
해결사,20100305,3986,20101012
레지던트 이블 4: 끝나지 않은 전쟁 3D,20100811,2765,20101012
무적자,20100833,3233,20101013
슈퍼  배드,20100814,13677,20101017
22 블렛,20100980,7673,20101020
먹고 기도하고 사랑하라,20100991,5418,20101020
아저씨,20100214,2168,20101020
참을 수 없는,20100057,6320,20101027
된장,20101004,3000,20101027
적인걸: 측천무후의 비밀,20100977,2986,20101027
검우강호,20100979,7840,20101030
플래닛 51,20090946,5154,20101031
방가? 방가!,20100835,4427,20101102
월 스트리트: 머니 네버 슬립스,20090950,3294,20101102
시라노; 연애조작단,20100834,3448,20101103
파라노말 액티비티 2,20101015,5568,20101107
나탈리,20101007,1759,20101109
레터스 투 줄리엣,20100975,1461,20101109
하비의 마지막 로맨스,20101047,711,20101110
스즈미야 하루히의 소실,20101165,4502,20101114
가디언의 전설,20101006,1052,20101116
대지진,20101038,918,20101116
데블,20101069,4243,20101117
돌이킬 수 없는,20101039,1731,20101117
심야의 F.M.,20100302,1706,20101117
쏘우 3D,20101011,7227,20101123
레드,20101008,3855,20101123
불량남녀,20101009,2966,20101123
두 여자,20101109,4731,20101126
듀 데이트,20101132,4992,20101130
렛 미 인,20101170,4551,20101130
언스토퍼블,20101070,3952,20101130
페스티발,20101012,3826,20101130
초능력자,20101010,6339,20101207
소셜 네트워크,20101013,4854,20101207
더 콘서트,20101206,3274,20101207
스위치,20101118,2383,20101208
라스트 엑소시즘,20101140,856,20101213
워리어스 웨이,20101014,5322,20101214
스카이 라인,20101133,1602,20101214
부당거래,20100213,1360,20101214
이층의 악당,20101113,1689,20101217
나는 나비,20101208,3024,20101218
베리드,20101138,1781,20101219
톨스토이의 마지막 인생,20101227,6132,20101221
투어리스트,20101212,11371,20101225
김종욱 찾기,20101200,16679,20101228
나니아 연대기: 새벽 출정호의 항해,20101213,14459,20101228
쓰리 데이즈,20101378,4690,20110104
아메리칸,20101071,3856,20110104
쩨쩨한 로맨스,20101221,2683,20110105
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,20101226,2625,20110111
트론: 새로운 시작,20101225,5766,20110112
극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,20102413,2908,20110112
새미의 어드벤쳐,20101348,9224,20110115
해리 포터와 죽음의 성물1,20101224,9385,20110116
세인트 클라우드,20110023,3398,20110119
황해,20101222,1916,20110124
심장이 뛴다,20101399,11811,20110126
시즌 오브 더 위치: 마녀 호송단,20110029,11160,20110126
라스트 갓파더,20101209,7441,20110126
아프리카 마법여행,20119155,2561,20110126
꿀벌 하치의 대모험,20110030,2009,20110126
러브 & 드럭스,20110031,3758,20110201
가필드 펫 포스 3D,20119137,4172,20110204
헬로우 고스트,20101223,910,20110207
메가마인드,20102421,1214,20110208
그린 호넷,20102418,3629,20110209
타운,20102419,2661,20110209
혈투,20101003,1444,20110215
걸리버 여행기,20102417,7244,20110216
최후의 툰드라-극장판,20119501,1778,20110216
상하이,20119277,1725,20110216
평양성,20102415,4397,20110217
글러브,20102416,10804,20110220
127시간,20119358,11514,20110223
생텀,20119418,6419,20110223
친구와 연인사이,20119508,5349,20110223
아따맘마 - 극장판,20119585,4669,20110223
메카닉,20119427,9507,20110302
라푼젤,20101395,19206,20110306
알파 앤 오메가,20119556,10961,20110306
만추 리마스터링,19820019,4049,20110309
"사랑한다, 사랑하지 않는다",20119507,3433,20110309
언노운,20119429,2874,20110309
파이터,2009A362,8796,20110316
컨트롤러,20119430,4445,20110316
조선명탐정 : 각시투구꽃의 비밀,20102414,3578,20110316
아이들...,20119341,3280,20110316
아이 엠 넘버 포,20119420,2579,20110316
랭고,20119630,28253,20110320
비스틀리,20119802,7215,20110323
웨이 백,20119419,6255,20110323
달빛 길어올리기,20116037,3962,20110323
히어애프터,20119688,6640,20110325
사랑이 무서워,20119511,4334,20110329
레드 라이딩 후드,20119768,6453,20110330
굿모닝 에브리원,20119667,4555,20110330
로맨틱 헤븐,20119717,3373,20110330
베니싱,20119856,3832,20110406
미트 페어런츠 3,20119806,3777,20110406
블랙 스완,20119577,2424,20110406
"울지마, 톤즈",20100962,1914,20110407
월드 인베이젼,20119707,5631,20110410
소명 3 : 히말라야의 슈바이처,20119990,1342,20110411
줄리아의 눈,20119772,5342,20110413
황당한 외계인: 폴,20119721,3272,20110413
마이 블랙 미니드레스,20119720,1714,20110413
라스트 나잇,20119855,2324,20110419
써커 펀치,20119854,1464,20110419
킹스 스피치,20119637,1222,20110419
더 라이트: 악마는 있다,20110172,4372,20110426
한나,20119852,3581,20110426
나는 아빠다,20119989,2487,20110427
내 이름은 칸,20119771,2324,20110429
제인 에어,20110071,3624,20110503
마오의 라스트 댄서,20110171,3241,20110503
그대를 사랑합니다,20119337,1626,20110503
노미오와 줄리엣,20119972,9802,20110510
적과의 동침,20119529,2527,20110511
워터 포 엘리펀트,20110235,2347,20110511
썬더일레븐 극장판 : 최강군단 오우거의 습격,20110261,6201,20110515
수상한 고객들,20119974,767,20110516
세상에서 가장 아름다운 이별,20119627,713,20110517
천녀유혼,20110311,4117,20110518
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,20110250,3982,20110522
옥보단 3D,20110292,717,20110524
토르: 천둥의 신,20110211,1694,20110525
콜렉터,20110487,684,20110527
분노의 질주: 언리미티드,20110185,575,20110527
소스 코드,20110221,2601,20110531
체포왕,20119619,1991,20110531
회초리,20110289,1242,20110531
삼국지: 명장 관우,20110501,2088,20110601
"미안해, 고마워",20110183,773,20110606
헤드,20119527,679,20110606
코파카바나,20101279,595,20110606
굿바이 보이,20110494,513,20110606
바보야,20110162,479,20110607
레지던트,20110502,4758,20110608
트루맛쇼,20110607,593,20110612
프리스트,20110571,5936,20110615
스크림 4G,20110182,3687,20110615
위험한 상견례,20119618,1893,20110615
캐리비안의 해적: 낯선 조류,20110294,3113,20110621
모비딕,20110313,7580,20110622
그린랜턴: 반지의 선택,20110655,2798,20110627
러브 앤 프렌즈,20110798,3724,20110628
정무문 : 100대 1의 전설,20110660,965,20110704
슈퍼 에이트,20110656,1028,20110706
링컨 차를 타는 변호사,20110581,1830,20110708
엑스맨: 퍼스트 클래스,20110561,4124,20110712
고 녀석 맛나겠다,20111101,1883,20110712
초(민망한)능력자들,20110897,1660,20110712
음모자,20110988,1549,20110712
소중한 날의 꿈,20101392,982,20110715
인 어 베러 월드,20110490,977,20110715
화이트: 저주의 멜로디,20110233,924,20110718
포인트 블랭크,20111351,5197,20110719
쿵푸팬더 2,20110511,875,20110719
풍산개,20110251,755,20110720
그을린 사랑,20101278,1577,20110725
고양이: 죽음을 보는 두 개의 눈,20110296,2804,20110726
빨간모자의 진실 2,20090922,1621,20110726
바니버디,20111034,4662,20110727
극장판 도라에몽: 진구와 철인군단 날아라 천사들,20111702,18087,20110802
카 2,20111249,15143,20110803
트랜스포머 3,20110659,8206,20110805
퍼스트 어벤져,20111113,6451,20110809
써니,20110193,6046,20110809
리오,20110657,6823,20110810
기생령,20110609,3355,20110810
카우보이 & 에이리언,20111757,15478,20110816
명탐정 코난 : 침묵의 15분,20110911,12925,20110821
고지전,20119515,3169,20110823
로맨틱 크라운,20112117,7926,20110824
7광구,20119513,4148,20110824
샤오린 : 최후의 결전,20111418,5495,20110825
별을 쫓는 아이,20111116,11548,20110828
돈비 어프레이드 : 어둠 속의 속삭임,20112141,4759,20110830
내 여자친구의 결혼식,20112121,2244,20110902
행오버 2,20111692,1815,20110902
퀵,20110290,1675,20110902
개구쟁이 스머프,20111540,24208,20110904
써니 감독판,20111250,1809,20110906
마당을 나온 암탉,20110279,32766,20110913
샤크 나이트 3D,20112132,4981,20110920
파이널 데스티네이션5,20112050,6138,20110921
푸른소금,20110301,5333,20110921
블라인드,20110297,4852,20110921
콜롬비아나,20111671,4780,20110921
통증,20110303,4353,20110928
챔프,20112082,3485,20110928
혹성탈출: 진화의 시작,20110896,2355,20110928
쥴리의 육지 대모험,20111536,5698,20111003
킬러 엘리트,20111893,2323,20111005
컨테이젼,20112175,2201,20111005
가문의 영광4 - 가문의 수난,20112272,2120,20111005
세 얼간이,20110899,1269,20111006
파퍼씨네 펭귄들,20111571,7045,20111009
어브덕션,20111892,2998,20111011
언피니시드,20112209,1141,20111014
비우티풀,20112314,871,20111018
투혼,20112552,3276,20111019
카운트다운,20111914,2289,20111019
코쿠리코 언덕에서,20112303,964,20111019
극장판 메이저 : 우정의 강속구,20111533,3564,20111023
최종병기 활 감독확장판,20112911,1733,20111023
히트,20112221,3711,20111026
최종병기 활,20110302,1217,20111026
파라노말 액티비티 3,20112693,10973,20111030
삼총사 3D,20112651,3168,20111101
트리 오브 라이프,20112622,2719,20111101
프렌즈 위드 베네핏,20112821,3293,20111102
도가니,20112534,2887,20111102
의뢰인,20110613,2373,20111102
쟈니 잉글리쉬2 : 네버다이,20112553,11135,20111106
훈장과 악동들,20112940,2375,20111108
Mr.아이돌,20113001,3633,20111109
더 킥,20112208,6031,20111112
청원,20112822,2302,20111113
오직 그대만,20112589,4552,20111116
헬프,20112763,4251,20111116
오늘,20110322,7033,20111118
커플즈,20110612,11646,20111119
인 타임,20112704,7054,20111120
완벽한 파트너,20112934,6034,20111123
스트레스를 부르는 그 이름 직장상사,20112971,4009,20111123
무협,20112701,2616,20111123
타워 하이스트,20112707,2920,20111124
티끌모아 로맨스,20112762,3706,20111129
퍼펙트 센스,20112973,1054,20111202
너는 펫,20111928,1653,20111204
신들의 전쟁,20111987,3858,20111206
50/50,20113306,3537,20111206
머니볼,20112311,2997,20111211
블리츠,20113307,4430,20111214
리얼 스틸,20112173,3168,20111214
결정적 한방,20113312,980,20111216
완득이,20112695,6415,20111220
특수본,20110906,4014,20111220
브레이킹 던 part1,20110905,2200,20111221
틴틴 : 유니콘호의 비밀,20112542,5007,20111228
아더 크리스마스,20112972,1756,20111228
앨빈과 슈퍼밴드3,20113311,5339,20120104
극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,20112708,4523,20120104
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,20112709,12541,20120108
라이온 킹,19940256,5774,20120110
다크아워,20113652,4931,20120111
프렌즈: 몬스터섬의비밀 ,20113271,15973,20120115
퍼펙트 게임,20113260,17277,20120117
셜록홈즈 : 그림자 게임,20112621,17064,20120117
초한지 - 천하대전,20113883,6966,20120117
마이 웨이,20110295,5448,20120117
오싹한 연애,20113381,3557,20120117
여성다큐멘터리스트-반이다1,20112945,8162,20120118
코알라 키드 : 영웅의 탄생,20113811,18908,20120124
원더풀 라디오,20113671,7891,20120125
네버엔딩 스토리,20113636,4759,20120131
페이스메이커,20113951,5501,20120201
우리는 동물원을 샀다,20113472,3697,20120201
밀레니엄 : 여자를 증오한 남자들,20110882,3103,20120201
하이힐을 신고 달리는 여자,20113881,5506,20120208
장화신은 고양이,20113862,4042,20120208
잃어버린 세계를 찾아서 2: 신비의 섬,20113653,2270,20120208
미션임파서블:고스트프로토콜,20112207,2244,20120208
워 호스,20124099,7745,20120215
팅커 테일러 솔저 스파이,20124134,7563,20120215
스타워즈:에피소드1 보이지 않는 위험 ,19990216,5071,20120215
해피 피트 2,20113911,3297,20120215
우먼 인 블랙,20113975,9613,20120221
고스트 라이더 : 복수의 화신,20113890,7682,20120221
파파,20113643,4234,20120221
부러진 화살,20113535,6244,20120227
언더월드 4: 어웨이크닝,20124746,12420,20120228
레전드 오브 래빗,20113982,8038,20120228
점박이:한반도의 공룡3D,20100215,6749,20120228
더 그레이,20124021,6157,20120228
돌아온 파워레인저 미라클포스,20124738,17287,20120301
휴고,20124551,10503,20120304
철의 여인,20113912,1820,20120308
액트 오브 밸러: 최정예 특수부대 ,20124609,2502,20120309
토르: 마법망치의 전설,20113920,10979,20120311
맨 온 렛지,20124420,1516,20120312
세이프 하우스,20124449,1984,20120313
스탠리의 도시락 ,20124726,1658,20120313
아티스트,20113918,2199,20120314
댄싱퀸,20113743,1612,20120314
하울링,20110249,1527,20120314
저스티스,20124932,3791,20120321
러브픽션,20113916,1583,20120327
콘트라밴드,20124873,3727,20120328
서약,20124874,967,20120331
범죄와의 전쟁: 나쁜놈들 전성시대,20113557,842,20120401
가비,20111774,612,20120403
존 카터: 바숨 전쟁의 서막 ,20124629,805,20120404
크로니클,20124666,702,20120404
말하는 건축가,20112808,466,20120404
달팽이의 별,20100752,655,20120405
종착역,20101371,752,20120406
디스 민즈 워,20124096,620,20120406
스페이스 독,20124939,2270,20120408
화차,20124050,4392,20120410
코난: 암흑의 시대,20125106,3185,20120410
타이탄의 분노,20124717,3813,20120415
인류멸망 보고서,20068590,2180,20120420
킹메이커,20125126,3424,20120424
하트 브레이커,20113201,3013,20120424
하늘이 보내준 딸,20125307,1613,20120424
헝거게임: 판엠의 불꽃,20124127,1309,20120429
시체가 돌아왔다,20124051,1186,20120429
"봄, 눈",20113556,1378,20120502
타이타닉,19980074,2242,20120504
장화신은 고양이 디 오리지널,20125915,3255,20120505
배틀쉽,20112134,1090,20120509
언터처블: 1%의 우정,20124142,897,20120509
짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,20125427,14543,20120513
두레소리,20111416,1215,20120514
데인저러스 메소드,20125649,2475,20120516
간기남,20124032,2183,20120516
로렉스,20113889,11528,20120520
레이드 : 첫번째 습격,20125467,1750,20120523
다크 섀도우,20125866,1195,20120524
콜드 라잇 오브 데이,20125907,2046,20120525
은교,20124066,1634,20120525
건축학개론,20124074,2689,20120528
머신건 프리처,20125486,2067,20120529
백설공주,20125426,1083,20120529
블루 발렌타인,20126026,827,20120601
극장판 썬더일레븐GO : 궁극의 우정 그리폰,20125806,5765,20120603
다른나라에서,20124350,1039,20120604
코리아,20124045,2739,20120605
스노우 화이트 앤 더 헌츠맨,20113745,5538,20120613
어벤져스,20124721,1353,20120613
돈의 맛,20124064,1301,20120613
사다코 3D : 죽음의 동영상,20125646,5679,20120620
미확인 동영상 : 절대클릭금지,20110312,5016,20120620
더 씽,20126617,4904,20120620
페이스 블라인드,20126413,9090,20120627
맨 인 블랙 3,20113885,8813,20120627
프로메테우스,20125086,1354,20120628
I AM,20113553,1575,20120629
두 번의 결혼식과 한 번의 장례식,20124061,1993,20120701
미쓰GO,20113532,11822,20120704
차형사,20124065,4763,20120704
락아웃: 익스트림미션,20124946,1432,20120704
더 레이븐,20113821,12723,20120711
헤이와이어,20126410,4454,20120711
캐빈 인 더 우즈,20126566,3774,20120711
아부의 왕,20124055,2843,20120711
스트리트 댄스 2: 라틴배틀,20127211,3762,20120716
후궁 : 제왕의 첩,20113533,4015,20120717
내 아내의 모든 것,20113554,5351,20120718
베스트 엑조틱 메리골드 호텔,20126470,5217,20120718
두 개의 문,20112443,2164,20120719
마다가스카3 : 이번엔 서커스다!,20124136,5443,20120722
나는 공무원이다,20113391,1646,20120723
5백만불의 사나이,20124058,10739,20120724
두 개의 달,20125916,10682,20120724
리미트리스,20126745,2080,20120724
모모와 다락방의 수상한 요괴들,20127108,1974,20120724
케빈에 대하여,20113486,1149,20120727
서태지 8집: 398일의 기록,20128626,2042,20120729
미드나잇 인 파리,20126686,2824,20120731
어메이징 스파이더맨,20126077,2319,20120731
그레이브 인카운터,20127630,4396,20120806
락 오브 에이지,20127086,8850,20120807
피라냐 3DD,20127407,6343,20120807
연가시,20124062,4626,20120807
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,20127266,4234,20120807
무서운 이야기,20124349,3871,20120813
명탐정 코난: 11번째 스트라이커,20127306,2647,20120813
아메리칸 파이: 19금 동창회,20128530,1958,20120813
빌리와 용감한 녀석들 3D,20127887,14714,20120826
아이스 에이지 4: 대륙 이동설,20126667,11017,20120826
레드라이트,20128272,3834,20120828
나는 왕이로소이다,20124080,2526,20120828
벨 아미,20125346,5000,20120829
다크 나이트 라이즈,20112703,3973,20120829
"그 시절, 우리가 좋아했던 소녀",20128588,2268,20120829
토탈 리콜,20125647,3415,20120905
미운오리새끼,20124046,3207,20120905
R2B: 리턴투베이스,20124049,1905,20120907
새미의 어드벤쳐 2,20126406,7582,20120909
웨딩스캔들,20128707,1382,20120910
577 프로젝트,20128271,859,20120911
바람과 함께 사라지다,20124067,12888,20120912
스텝업4 : 레볼루션,20126448,4515,20120912
링컨: 뱀파이어 헌터,20125338,3126,20120912
이웃사람,20125920,4009,20120919
인시디어스,20127446,3901,20120919
럼 다이어리,20129046,2084,20120921
익스펜더블 2,20128143,2553,20120922
본 레거시,20126409,5856,20120926
공모자들,20124063,5444,20120926
런던 블러바드,20125306,1768,20120926
레지던트 이블 5 : 최후의 심판,20127401,4786,20120928
